implementation,operation,sector_bytes,volume_bytes,trials,mean_ns,median_ns,stdev_ns,mean_mib_s,median_mib_s,mean_ns_per_sector,mean_tsc_cycles_per_byte
AES-ECB,encrypt,4096,33554432,5,26221855.200,24000995.000,5050644.741,1220.356064,1333.278058,3200.910,2.963915
AES-ECB,decrypt,4096,33554432,5,33642552.000,33598973.000,107934.072,951.176355,952.410063,4106.757,3.802675
AES-XTS-manual-sequential,encrypt,4096,33554432,5,40797689.400,40805659.000,93035.765,784.358146,784.204955,4980.187,4.611438
AES-XTS-manual-sequential,decrypt,4096,33554432,5,45967145.000,45935666.000,129634.124,696.149391,696.626451,5611.224,5.195728
AES-XTS-OpenSSL-full-sector,encrypt,4096,33554432,5,7424624.400,7241264.000,442033.735,4309.982334,4419.117988,906.326,0.839249
AES-XTS-OpenSSL-full-sector,decrypt,4096,33554432,5,7132238.400,7130912.000,30649.812,4486.669991,4487.504544,870.635,0.806176
Ratchet-CTR-AES,encrypt,4096,33554432,5,210124717.600,210113733.000,1223568.507,152.290508,152.298470,25649.990,23.750662
Ratchet-CTR-AES,decrypt,4096,33554432,5,207728599.800,207675948.000,834695.296,154.047156,154.086211,25357.495,23.479801
Ratchet-CTR-BLAKE3,encrypt,4096,33554432,5,377639362.600,377229651.000,1323955.573,84.736929,84.828963,46098.555,42.684978
Ratchet-CTR-BLAKE3,decrypt,4096,33554432,5,377380161.200,377334800.000,1248670.826,84.795130,84.805324,46066.914,42.655627
Ratchet-CBC-AES,encrypt,4096,33554432,5,193577973.200,193206105.000,537776.630,165.308064,165.626236,23630.124,21.880300
Ratchet-CBC-AES,decrypt,4096,33554432,5,204527051.400,204560775.000,304555.786,156.458521,156.432728,24966.681,23.117850
Ratchet-CBC-BLAKE3,encrypt,4096,33554432,5,354933364.800,355091697.000,638454.321,90.157768,90.117568,43326.827,40.118490
Ratchet-CBC-BLAKE3,decrypt,4096,33554432,5,373466876.600,372003004.000,3276644.171,85.683636,86.020811,45589.218,42.213180
