cache_state,scheme,target_block,samples,mean_ns,median_ns,stdev_ns
warm,Ratchet-CTR-SHA-256,32,1000,8935.608,7742.000,10616.247
warm,Ratchet-CTR-SHA-256,64,1000,17259.374,15513.000,10835.545
warm,Ratchet-CTR-SHA-256,128,1000,34585.565,31076.000,21701.251
warm,Ratchet-CTR-SHA-256,192,1000,51036.976,46629.500,19835.624
warm,Ratchet-CTR-SHA-256,256,1000,70654.569,62193.000,36518.723
cache-thrashed,Ratchet-CTR-SHA-256,1,80,551.050,391.000,298.088
cache-thrashed,Ratchet-CTR-SHA-256,32,80,9041.675,8423.000,1717.822
cache-thrashed,Ratchet-CTR-SHA-256,64,80,19560.875,16239.000,11425.888
cache-thrashed,Ratchet-CTR-SHA-256,128,80,33724.338,31672.500,6046.510
cache-thrashed,Ratchet-CTR-SHA-256,192,80,51147.675,47336.000,10718.638
cache-thrashed,Ratchet-CTR-SHA-256,256,80,67568.800,62823.000,19527.665
warm,Ratchet-CBC-AES,1,1000,153.957,150.000,25.828
warm,Ratchet-CBC-AES,32,1000,854.345,791.000,1511.545
warm,Ratchet-CBC-AES,64,1000,1519.108,1442.000,1047.214
warm,Ratchet-CBC-AES,128,1000,2899.121,2764.000,2152.926
warm,Ratchet-CBC-AES,192,1000,4509.902,4076.000,5962.309
warm,Ratchet-CBC-AES,256,1000,5998.686,5398.000,6450.553
cache-thrashed,Ratchet-CBC-AES,1,80,530.413,385.500,330.832
cache-thrashed,Ratchet-CBC-AES,32,80,2515.375,1042.000,11571.298
cache-thrashed,Ratchet-CBC-AES,64,80,2019.013,1673.000,1699.387
cache-thrashed,Ratchet-CBC-AES,128,80,3184.575,3004.500,401.643
cache-thrashed,Ratchet-CBC-AES,192,80,4452.975,4307.000,316.269
cache-thrashed,Ratchet-CBC-AES,256,80,6442.538,5628.000,6033.404
warm,Ratchet-CBC-BLAKE3,1,1000,231.698,161.000,1512.361
warm,Ratchet-CBC-BLAKE3,32,1000,4039.665,3916.000,1603.763
warm,Ratchet-CBC-BLAKE3,64,1000,9328.629,7782.000,22743.243
warm,Ratchet-CBC-BLAKE3,128,1000,16728.477,15553.000,11551.721
warm,Ratchet-CBC-BLAKE3,192,1000,27720.175,23295.000,69561.001
warm,Ratchet-CBC-BLAKE3,256,1000,39675.331,31026.000,106278.038
cache-thrashed,Ratchet-CBC-BLAKE3,1,80,2099.400,421.000,13816.409
cache-thrashed,Ratchet-CBC-BLAKE3,32,80,4583.775,4251.000,762.901
cache-thrashed,Ratchet-CBC-BLAKE3,64,80,8701.913,8152.000,2927.816
cache-thrashed,Ratchet-CBC-BLAKE3,128,80,20241.500,16008.500,16394.376
cache-thrashed,Ratchet-CBC-BLAKE3,192,80,26291.425,23705.500,9469.916
cache-thrashed,Ratchet-CBC-BLAKE3,256,80,36940.650,31587.000,24908.689
warm,Ratchet-CBC-BLAKE2s-256,1,1000,189.108,171.000,80.196
warm,Ratchet-CBC-BLAKE2s-256,32,1000,14245.914,11667.000,19099.306
warm,Ratchet-CBC-BLAKE2s-256,64,1000,26084.213,23405.000,13040.517
warm,Ratchet-CBC-BLAKE2s-256,128,1000,55309.150,46860.000,54911.564
warm,Ratchet-CBC-BLAKE2s-256,192,1000,80128.234,70304.000,48766.945
warm,Ratchet-CBC-BLAKE2s-256,256,1000,108420.972,93929.500,62610.704
cache-thrashed,Ratchet-CBC-BLAKE2s-256,1,80,656.337,440.500,584.813
cache-thrashed,Ratchet-CBC-BLAKE2s-256,32,80,65020.963,12418.000,453970.244
cache-thrashed,Ratchet-CBC-BLAKE2s-256,64,80,29295.638,24176.000,24392.633
cache-thrashed,Ratchet-CBC-BLAKE2s-256,128,80,51861.400,47801.000,14421.933
cache-thrashed,Ratchet-CBC-BLAKE2s-256,192,80,81183.288,71566.000,29761.261
cache-thrashed,Ratchet-CBC-BLAKE2s-256,256,80,109682.650,95186.500,35525.271
warm,Ratchet-CBC-SHA3-256,1,1000,188.655,170.000,44.892
warm,Ratchet-CBC-SHA3-256,32,1000,19186.120,17206.000,28231.301
warm,Ratchet-CBC-SHA3-256,64,1000,37868.640,34702.000,30949.818
warm,Ratchet-CBC-SHA3-256,128,1000,76149.325,69714.000,38299.802
