implementation,operation,sector_bytes,volume_bytes,trials,mean_ns,median_ns,stdev_ns,mean_mib_s,median_mib_s,mean_ns_per_sector,mean_tsc_cycles_per_byte
Ratchet-CBC-BLAKE3,decrypt,4096,1048576,5,18449629.200,17673956.000,2168744.453,54.201631,56.580428,72068.864,45.678131
AES-ECB,encrypt,4096,33554432,5,34075417.400,32631680.000,3900115.073,939.093412,980.642124,4159.597,2.636442
AES-ECB,decrypt,4096,33554432,5,40406657.800,40180463.000,1129220.943,791.948697,796.406950,4932.453,3.126250
AES-XTS-manual-sequential,encrypt,4096,33554432,5,93533765.000,93035812.000,1753659.895,342.122441,343.953573,11417.696,7.236691
AES-XTS-manual-sequential,decrypt,4096,33554432,5,94053498.200,86196587.000,19225452.187,340.231896,371.244397,11481.140,7.276866
AES-XTS-OpenSSL-full-sector,encrypt,4096,33554432,5,9603764.400,9662688.000,135708.445,3332.026762,3311.707881,1172.335,0.743052
AES-XTS-OpenSSL-full-sector,decrypt,4096,33554432,5,9902063.600,9853084.000,550140.993,3231.649613,3247.714117,1208.748,0.766125
Ratchet-CTR-AES,encrypt,4096,33554432,5,278261873.000,276892416.000,3629173.014,114.999585,115.568351,33967.514,21.528954
Ratchet-CTR-AES,decrypt,4096,33554432,5,269513053.800,268858242.000,2605150.816,118.732653,119.021830,32899.543,20.852042
Ratchet-CTR-BLAKE3,encrypt,4096,33554432,5,491598619.800,490940524.000,5648905.344,65.093755,65.181012,60009.597,38.034680
Ratchet-CTR-BLAKE3,decrypt,4096,33554432,5,518524126.400,520648637.000,6105957.616,61.713618,61.461795,63296.402,40.117861
Ratchet-CBC-AES,encrypt,4096,33554432,5,254059062.800,253351664.000,3627915.886,125.954964,126.306650,31013.069,19.656402
Ratchet-CBC-AES,decrypt,4096,33554432,5,260000558.600,259694930.000,3010790.554,123.076659,123.221505,31738.349,20.116069
Ratchet-CBC-BLAKE3,encrypt,4096,33554432,5,468244838.800,464722380.000,10896002.953,68.340315,68.858315,57158.794,36.227810
Ratchet-CBC-BLAKE3,decrypt,4096,33554432,5,496759597.400,498550183.000,4781982.840,64.417477,64.186116,60639.599,38.433949
